Tour,Series Name,Event Number,Event Name,Event Type,Buy-In,Fee,Total Cost,Guaranteed,Start Date,Start Time,Flight,Game Type,Format,Starting Stack,Blind Levels,Venue,City,State,Source URL
WPT,"WPT Lucky Hearts Poker Open 2026",SAT-3,"$1,100 High Roller Satellite",satellite,1100,,1100,,2026-01-15,7:00 PM,,NLH,,10000,20 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",8,"$10,000 High Roller NLH",high_roller,10000,,10000,,2026-01-16,1:00 PM,,NLH,,60000,60 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",9,"$1,100 Turbo NLH",turbo,1100,,1100,,2026-01-17,2:00 PM,,NLH,Turbo,20000,15 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",10,"WSOPC #10: $600 NLH Turbo",turbo,600,,600,,2026-01-17,11:00 AM,,NLH,Turbo,15000,20 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",11,"WSOPC #11: $2,200 High Roller NLH",high_roller,2200,,2200,,2026-01-17,3:00 PM,,NLH,,35000,40 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"L.A. Poker Classic 2026",6,"$5,300 NLH",side_event,5300,,5300,,2026-01-18,12:00 PM,,NLH,,50000,40 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",10,"$25,000 Super High Roller NLH",super_high_roller,25000,,25000,,2026-01-18,1:00 PM,,NLH,,100000,60 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",12,"WSOPC #12: $400 NLH Last Chance",side_event,400,,400,,2026-01-18,11:00 AM,,NLH,,15000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",13,"WSOPC #13: $600 NLH Super Turbo",turbo,600,,600,,2026-01-19,11:00 AM,,NLH,Super Turbo,10000,15 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"L.A. Poker Classic 2026",7,"$1,100 Seniors NLH (50+)",seniors,1100,,1100,,2026-01-20,11:00 AM,,NLH,,30000,40 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"L.A. Poker Classic 2026",8,"$1,100 Ladies NLH",ladies,1100,,1100,,2026-01-22,11:00 AM,,NLH,,30000,40 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Tunica (Winter) 2026",1,"WSOPC #1: $400 NLH Casino Employees",side_event,400,,400,,2026-01-22,10:00 AM,,NLH,,15000,30 min,"Horseshoe Tunica",Robinsonville,MS,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Tunica (Winter) 2026",2,"WSOPC #2: $400 NLH Double Stack",deepstack,400,,400,,2026-01-23,11:00 AM,,NLH,,30000,30 min,"Horseshoe Tunica",Robinsonville,MS,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Pompano 2026",1,"WSOPC #1: $400 NLH Casino Employees",side_event,400,,400,,2026-01-29,11:00 AM,,NLH,,15000,30 min,"Pompano Park Racing",Pompano Beach,FL,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Tunica (Winter) 2026",9,"WSOPC #9: $1,700 Main Event",main_event,1700,,1700,1000000,2026-01-29,11:00 AM,,NLH,,30000,60 min,"Horseshoe Tunica",Robinsonville,MS,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Tunica (Winter) 2026",11,"WSOPC #11: $2,200 High Roller NLH",high_roller,2200,,2200,,2026-01-31,2:00 PM,,NLH,,35000,40 min,"Horseshoe Tunica",Robinsonville,MS,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Pompano 2026",9,"WSOPC #9: $1,700 Main Event",main_event,1700,,1700,1000000,2026-02-05,11:00 AM,,NLH,,30000,60 min,"Pompano Park Racing",Pompano Beach,FL,https://www.wsop.com/circuit/
WPT,"WPT Venetian Las Vegas Spring Festival 2026",1,"$600 NLH Deep Stack",deepstack,600,,600,,2026-02-09,12:00 PM,,NLH,,30000,40 min,"The Venetian Resort Las Vegas",Las Vegas,NV,https://www.worldpokertour.com/schedule/
WPT,"WPT Venetian Las Vegas Spring Festival 2026",2,"$1,100 NLH",side_event,1100,,1100,,2026-02-10,12:00 PM,,NLH,,30000,40 min,"The Venetian Resort Las Vegas",Las Vegas,NV,https://www.worldpokertour.com/schedule/
WPT,"WPT Venetian Las Vegas Spring Festival 2026",3,"$1,600 Mystery Bounty NLH",mystery_bounty,1600,,1600,750000,2026-02-12,12:00 PM,,NLH,,30000,30 min,"The Venetian Resort Las Vegas",Las Vegas,NV,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Cherokee (Winter) 2026",1,"WSOPC #1: $400 NLH Casino Employees",side_event,400,,400,,2026-02-12,11:00 AM,,NLH,,15000,30 min,"Harrah's Cherokee",Cherokee,NC,https://www.wsop.com/circuit/
WPT,"WPT Venetian Las Vegas Spring Festival 2026",4,"$5,000 WPT Main Event",main_event,5000,,5000,3000000,2026-02-17,12:00 PM,,NLH,,50000,60 min,"The Venetian Resort Las Vegas",Las Vegas,NV,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Cherokee (Winter) 2026",9,"WSOPC #9: $1,700 Main Event",main_event,1700,,1700,1500000,2026-02-18,11:00 AM,,NLH,,30000,60 min,"Harrah's Cherokee",Cherokee,NC,https://www.wsop.com/circuit/
WPT,"WPT Venetian Las Vegas Spring Festival 2026",5,"$10,000 High Roller NLH",high_roller,10000,,10000,,2026-02-21,1:00 PM,,NLH,,60000,60 min,"The Venetian Resort Las Vegas",Las Vegas,NV,https://www.worldpokertour.com/schedule/
WPT,"L.A. Poker Classic 2026",9,"$10,400 WPT LAPC Main Event",main_event,10400,,10400,5000000,2026-02-21,12:00 PM,,NLH,,60000,90 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"L.A. Poker Classic 2026",9,"$10,400 WPT LAPC Main Event - Day 1A",main_event,10400,,10400,,2026-02-21,12:00 PM,A,NLH,,60000,90 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"WPT Venetian Las Vegas Spring Festival 2026",6,"$25,000 High Roller NLH",super_high_roller,25000,,25000,,2026-02-22,1:00 PM,,NLH,,100000,60 min,"The Venetian Resort Las Vegas",Las Vegas,NV,https://www.worldpokertour.com/schedule/
WPT,"L.A. Poker Classic 2026",9,"$10,400 WPT LAPC Main Event - Day 1B",main_event,10400,,10400,,2026-02-22,12:00 PM,B,NLH,,60000,90 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"L.A. Poker Classic 2026",10,"$25,000 High Roller NLH",high_roller,25000,,25000,,2026-02-25,1:00 PM,,NLH,,100000,60 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Chicagoland (Winter) 2026",1,"WSOPC #1: $400 NLH Casino Employees",side_event,400,,400,,2026-02-26,11:00 AM,,NLH,,15000,30 min,"Horseshoe Hammond",Hammond,IN,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Chicagoland (Winter) 2026",9,"WSOPC #9: $1,700 Main Event",main_event,1700,,1700,2000000,2026-03-04,11:00 AM,,NLH,,30000,60 min,"Horseshoe Hammond",Hammond,IN,https://www.wsop.com/circuit/
WSOP,"2026 World Series of Poker",1,"Casino Employees No-Limit Hold'em",side_event,500,80,580,,2026-05-26,10:00 AM,,NLH,,25000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",2,"$10,000 Dealer's Choice 6-Handed Championship",championship,10000,600,10600,,2026-05-26,3:00 PM,,Mixed,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",SAT-4,"$125 WSOP Daily Super Satellite",satellite,125,20,145,,2026-05-26,7:00 PM,,NLH,,5000,15 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",SAT-5,"$75 WSOP Single Table Satellite",satellite,75,15,90,,2026-05-26,On Demand,,NLH,,3000,15 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",3,"$1,500 Omaha Hi-Lo 8 or Better",side_event,1500,175,1675,,2026-05-27,10:00 AM,,O8,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",4,"$500 The Housewarming No-Limit Hold'em",side_event,500,80,580,,2026-05-27,11:00 AM,,NLH,,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",4,"$500 The Housewarming No-Limit Hold'em - Flight A",side_event,500,80,580,,2026-05-27,11:00 AM,A,NLH,,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",4,"$500 The Housewarming No-Limit Hold'em - Flight B",side_event,500,80,580,,2026-05-27,5:00 PM,B,NLH,,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",4,"$500 The Housewarming No-Limit Hold'em - Flight C",side_event,500,80,580,,2026-05-28,11:00 AM,C,NLH,,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",5,"$1,500 Seven Card Stud",side_event,1500,175,1675,,2026-05-28,3:00 PM,,Stud,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",6,"$25,000 Heads-Up No-Limit Hold'em Championship",championship,25000,1500,26500,,2026-05-28,2:00 PM,,NLH,Heads-Up,100000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",7,"$1,500 Limit Hold'em",side_event,1500,175,1675,,2026-05-29,10:00 AM,,Limit,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",8,"$10,000 Short Deck No-Limit Hold'em",championship,10000,600,10600,,2026-05-29,3:00 PM,,Short Deck,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",9,"$600 Deepstack No-Limit Hold'em",deepstack,600,100,700,,2026-05-29,11:00 AM,,NLH,,30000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",10,"$1,500 No-Limit Hold'em 6-Handed",side_event,1500,175,1675,,2026-05-30,10:00 AM,,NLH,6-Max,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",11,"$1,500 Pot-Limit Omaha",side_event,1500,175,1675,,2026-05-30,3:00 PM,,PLO,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",12,"$50,000 High Roller No-Limit Hold'em",high_roller,50000,3000,53000,,2026-05-30,2:00 PM,,NLH,,150000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",13,"$1,500 No-Limit Hold'em",side_event,1500,175,1675,,2026-05-31,10:00 AM,,NLH,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",14,"$1,500 Razz",side_event,1500,175,1675,,2026-05-31,3:00 PM,,Razz,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",15,"$10,000 Pot-Limit Omaha Championship",championship,10000,600,10600,,2026-05-31,2:00 PM,,PLO,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",16,"$1,500 No-Limit 2-7 Lowball Draw",side_event,1500,175,1675,,2026-06-01,10:00 AM,,2-7 Draw,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",17,"$800 No-Limit Hold'em Deep Freeze",deepstack,800,120,920,,2026-06-01,10:00 AM,,NLH,Freezeout,40000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",18,"$10,000 Limit Hold'em Championship",championship,10000,600,10600,,2026-06-01,3:00 PM,,Limit,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",19,"$2,500 No-Limit Hold'em",side_event,2500,250,2750,,2026-06-02,10:00 AM,,NLH,,35000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",20,"$1,500 HORSE",side_event,1500,175,1675,,2026-06-02,3:00 PM,,HORSE,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",21,"$3,000 No-Limit Hold'em 6-Handed",side_event,3000,300,3300,,2026-06-02,2:00 PM,,NLH,6-Max,40000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",22,"$1,000 Super Turbo Bounty No-Limit Hold'em",bounty,1000,120,1120,,2026-06-03,10:00 AM,,NLH,Super Turbo Bounty,20000,20 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",23,"$10,000 Omaha Hi-Lo 8 or Better Championship",championship,10000,600,10600,,2026-06-03,3:00 PM,,O8,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",24,"$1,500 Pot-Limit Omaha Hi-Lo 8 or Better",side_event,1500,175,1675,,2026-06-03,10:00 AM,,PLO8,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",25,"$800 No-Limit Hold'em 8-Handed",side_event,800,120,920,,2026-06-04,10:00 AM,,NLH,8-Max,30000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",26,"$2,500 Mixed Triple Draw Lowball",side_event,2500,250,2750,,2026-06-04,3:00 PM,,Mixed,,35000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",27,"$100,000 High Roller No-Limit Hold'em",high_roller,100000,5000,105000,,2026-06-04,12:00 PM,,NLH,,300000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",28,"$1,500 No-Limit Hold'em Monster Stack",deepstack,1500,175,1675,,2026-06-05,10:00 AM,,NLH,,50000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",29,"$10,000 Seven Card Stud Championship",championship,10000,600,10600,,2026-06-05,3:00 PM,,Stud,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",30,"$1,500 Mixed No-Limit Hold'em/Pot-Limit Omaha",side_event,1500,175,1675,,2026-06-05,3:00 PM,,Mixed,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",31,"$1,000 Seniors No-Limit Hold'em Championship",seniors,1000,120,1120,,2026-06-06,10:00 AM,,NLH,,20000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",32,"$1,500 Super Turbo No-Limit Hold'em",turbo,1500,175,1675,,2026-06-06,5:00 PM,,NLH,Super Turbo,15000,15 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",33,"$10,000 H.O.R.S.E. Championship",championship,10000,600,10600,,2026-06-06,3:00 PM,,HORSE,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",34,"$3,000 No-Limit Hold'em",side_event,3000,300,3300,,2026-06-07,10:00 AM,,NLH,,40000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",35,"$1,500 Pot-Limit Omaha 8-Handed",side_event,1500,175,1675,,2026-06-07,3:00 PM,,PLO,8-Max,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",36,"$250,000 Super High Roller No-Limit Hold'em",super_high_roller,250000,12500,262500,,2026-06-07,12:00 PM,,NLH,,750000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",37,"$1,000 Ladies No-Limit Hold'em Championship",ladies,1000,120,1120,,2026-06-08,10:00 AM,,NLH,,20000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",38,"$10,000 No-Limit 2-7 Lowball Draw Championship",championship,10000,600,10600,,2026-06-08,3:00 PM,,2-7 Draw,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",39,"$600 Pot-Limit Omaha Deepstack",deepstack,600,100,700,,2026-06-08,11:00 AM,,PLO,,30000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",40,"$1,500 Shootout No-Limit Hold'em",shootout,1500,175,1675,,2026-06-09,10:00 AM,,NLH,Shootout,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",41,"$3,000 Limit Hold'em 6-Handed",side_event,3000,300,3300,,2026-06-09,3:00 PM,,Limit,6-Max,40000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",42,"$800 No-Limit Hold'em Freezeout",side_event,800,120,920,,2026-06-09,10:00 AM,,NLH,Freezeout,30000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",43,"$10,000 Razz Championship",championship,10000,600,10600,,2026-06-10,3:00 PM,,Razz,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",44,"$2,500 No-Limit Hold'em Freezeout",side_event,2500,250,2750,,2026-06-10,10:00 AM,,NLH,Freezeout,35000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",45,"$1,500 Eight Game Mix",side_event,1500,175,1675,,2026-06-10,3:00 PM,,8-Game,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
